KodeRute,NamaRute,API_URL
9C,Pinang Ranti - Bundaran Senayan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_9C&transportType=transjakarta
9D,Pasar Minggu - Tanah Abang,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_9D&transportType=transjakarta
9E,Kebayoran Lama - Grogol 2,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_9E&transportType=transjakarta
9H,Cipedak - Blok M,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_9H&transportType=transjakarta
9K,Kampung Rambutan - Grogol 2,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_9K&transportType=transjakarta
9M,Pinang Ranti - Kuningan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_9M&transportType=transjakarta
10,PGC 2 - Tanjung Priok,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_10&transportType=transjakarta
10A,Rusun Marunda - Tanjung Priok,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_10A&transportType=transjakarta
10B,Rusun Cipinang Besar Selatan - PGC 1,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_10B&transportType=transjakarta
10C,Tanjung Priok - Pelabuhan Tanjung Priok,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_10C&transportType=transjakarta
10D,Tanjung Priok - Kampung Rambutan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_10D&transportType=transjakarta
10F,Sunter Kelapa Gading - Stasiun LRT Pegangsaan Dua,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_10F&transportType=transjakarta
10H,Tanjung Priok - Blok M,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_10H&transportType=transjakarta
10K,Tanjung Priok - Senen via Taman BMW,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_10K&transportType=transjakarta
11,Walikota Jakarta Timur - Kampung Melayu,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_11&transportType=transjakarta
11A,Pulogadung - Pulogebang,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_11A&transportType=transjakarta
11B,Rusun Rawa Bebek -  Pulogebang,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_11B&transportType=transjakarta
11C,Rusun Pulogebang - Rusun Pinus Elok,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_11C&transportType=transjakarta
